cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
1,MANNADIPET,1,A. KRISHNAN @ A.K. KUMAR,Dravida Munnetra Kazhagam,12016,173,12189,42.28
1,MANNADIPET,2,"K.K. MATHIVADHANAN, M.B.A., M.Phil.,",Bahujan Samaj Party,99,1,100,0.35
1,MANNADIPET,3,A. NAMASSIVAYAM,Bharatiya Janata Party,14692,247,14939,51.82
1,MANNADIPET,4,P. GOPALAKRISHNAN,Makkal Needhi Maiam,235,3,238,0.83
1,MANNADIPET,5,CHITRA,Naam Tamilar Katchi,480,5,485,1.68
1,MANNADIPET,6,C. DHANAVELU,Amma Makkal Munnettra Kazagam,56,1,57,0.2
1,MANNADIPET,7,S. MANIKANDAN,Desiya Murpokku Dravida Kazhagam,64,0,64,0.22
1,MANNADIPET,8,CHAMSOUDINE,Independent,12,0,12,0.04
1,MANNADIPET,9,SIVAKUMAR. R.M,Independent,8,0,8,0.03
1,MANNADIPET,10,SUBBURUMANI,Independent,23,2,25,0.09
1,MANNADIPET,11,BRIGHTMOON V. MURUGANANDHAM,Independent,42,1,43,0.15
1,MANNADIPET,12,VEERAPPAN,Independent,175,7,182,0.63
1,MANNADIPET,13,S. JAYABALL ALIAS SENGENI,Independent,55,0,55,0.19
1,MANNADIPET,14,NOTA,None of the Above,428,5,433,1.5
2,THIRUBHUVANAI,1,"T. UDAYAKUMAR, MLIS",Bahujan Samaj Party,77,3,80,0.28
2,THIRUBHUVANAI,2,B. KOBIGA,All India N.R. Congress,8084,154,8238,28.6
2,THIRUBHUVANAI,3,A. MUHILAN,Dravida Munnetra Kazhagam,7588,56,7644,26.53
2,THIRUBHUVANAI,4,Dr.K. SILAMBARASAN,Amma Makkal Munnettra Kazagam,229,0,229,0.79
2,THIRUBHUVANAI,5,V. SIVARAMAN,Indiya Jananayaka Katchi,115,2,117,0.41
2,THIRUBHUVANAI,6,K. RANJIT,Naam Tamilar Katchi,584,4,588,2.04
2,THIRUBHUVANAI,7,DURAI RAMESH,Makkal Needhi Maiam,481,1,482,1.67
2,THIRUBHUVANAI,8,T. VINAYAGAMOORTHY,Desiya Murpokku Dravida Kazhagam,118,1,119,0.41
2,THIRUBHUVANAI,9,P. ANGALANE,Independent,10473,124,10597,36.78
2,THIRUBHUVANAI,10,S.T. PARAMASIVAM @ CALE,Independent,180,2,182,0.63
2,THIRUBHUVANAI,11,M. SHANTHI,Independent,78,7,85,0.3
2,THIRUBHUVANAI,12,S. NADARAJAN,Independent,83,1,84,0.29
2,THIRUBHUVANAI,13,M. MANIVANNAN,Independent,79,0,79,0.27
2,THIRUBHUVANAI,14,NOTA,None of the Above,280,4,284,0.99
3,OUSSUDU,1,P. KARTHIKEYAN,Indian National Congress,12145,96,12241,42.29
3,OUSSUDU,2,AK SAI J SARAVANAN KUMAR,Bharatiya Janata Party,13903,218,14121,48.78
3,OUSSUDU,3,GEETHA PRIYA,Naam Tamilar Katchi,736,4,740,2.56
3,OUSSUDU,4,K. SANKAR,Makkal Needhi Maiam,291,2,293,1.01
3,OUSSUDU,5,R. BABOU,Desiya Murpokku Dravida Kazhagam,77,0,77,0.27
3,OUSSUDU,6,M. RAMESH,Indiya Jananayaka Katchi,14,0,14,0.05
3,OUSSUDU,7,MUTHALU VENGADESAN,Amma Makkal Munnettra Kazagam,489,7,496,1.71
3,OUSSUDU,8,ABIMANNAN,Independent,20,4,24,0.08
3,OUSSUDU,9,N. AMBIGAPATHY,Independent,314,6,320,1.11
3,OUSSUDU,10,S. SANJIV GANTHI,Independent,46,1,47,0.16
3,OUSSUDU,11,A. MURALI,Independent,164,1,165,0.57
3,OUSSUDU,12,NOTA,None of the Above,406,3,409,1.41
4,MANGALAM,1,SUN. KUMARAVEL,Dravida Munnetra Kazhagam,14047,174,14221,42.64
4,MANGALAM,2,A. Pathimaraj,Bahujan Samaj Party,104,0,104,0.31
