cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
93,BOKAKHAT,8,DULAL BORA,Independent,1521,24,1545,1.28
93,BOKAKHAT,9,PRANAB DOLEY,Independent,27405,344,27749,23.04
93,BOKAKHAT,10,BIJOY KUTUM,Independent,969,15,984,0.82
93,BOKAKHAT,11,HEMANTA DOLOI,Independent,927,6,933,0.77
93,BOKAKHAT,12,NOTA,None of the Above,2465,17,2482,2.06
94,SARUPATHAR,1,BISWAJIT PHUKAN,Bharatiya Janata Party,106425,665,107090,51.49
94,SARUPATHAR,2,ROSELINA TIRKEY,Indian National Congress,67351,380,67731,32.57
94,SARUPATHAR,3,RAJU PHUKAN,Assam Jatiya Parishad,27446,210,27656,13.3
94,SARUPATHAR,4,GOPAL GOGOI,Independent,2528,36,2564,1.23
94,SARUPATHAR,5,NOTA,None of the Above,2943,2,2945,1.42
95,GOLAGHAT,1,Ajanta Neog,Bharatiya Janata Party,81054,597,81651,50.63
95,GOLAGHAT,2,Bitupan Saikia,Indian National Congress,71841,485,72326,44.84
95,GOLAGHAT,3,Rina Saikia,Assam Jatiya Parishad,5013,49,5062,3.14
95,GOLAGHAT,4,NOTA,None of the Above,2233,12,2245,1.39
96,KHUMTAI,1,Bismita Gogoi,Indian National Congress,38284,238,38522,33.14
96,KHUMTAI,2,Mrinal Saikia,Bharatiya Janata Party,65270,385,65655,56.49
96,KHUMTAI,3,Susenfa Gogoi,Asom Songrami Mancha(Asom),1083,7,1090,0.94
96,KHUMTAI,4,Paban Saikia,Assam Jatiya Parishad,7348,20,7368,6.34
96,KHUMTAI,5,Dipak Guwala,Independent,668,4,672,0.58
96,KHUMTAI,6,Priyam Konwar,Independent,1526,1,1527,1.31
96,KHUMTAI,7,NOTA,None of the Above,1398,1,1399,1.2
97,DERGAON,1,BANI HAZARIKA,Indian National Congress,51171,375,51546,38.73
97,DERGAON,2,BHABENDRA NATH BHARALI,Asom Gana Parishad,63612,431,64043,48.12
97,DERGAON,3,ANANDA CHANDRA DAS,Assam Jatiya Parishad,7477,108,7585,5.7
97,DERGAON,4,PROBIN DAS,Independent,7452,35,7487,5.63
97,DERGAON,5,NOTA,None of the Above,2421,20,2441,1.83
98,JORHAT,1,RANA GOSWAMI,Indian National Congress,61181,652,61833,44.2
98,JORHAT,2,HITENDRA NATH GOSWAMI,Bharatiya Janata Party,67500,821,68321,48.84
98,JORHAT,3,NIROD CHANGKAKOTI,Assam Jatiya Parishad,6843,82,6925,4.95
98,JORHAT,4,RANJIT BARUAH,Independent,1087,13,1100,0.79
98,JORHAT,5,NOTA,None of the Above,1701,16,1717,1.23
99,MAJULI,1,RAJIB LOCHAN PEGU,Indian National Congress,28047,197,28244,26.7
99,MAJULI,2,SARBANANDA SONOWAL,Bharatiya Janata Party,70618,818,71436,67.53
99,MAJULI,3,BHAITY RICHONG,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1074,6,1080,1.02
99,MAJULI,4,SISHUDHAR DOLEY,Assam Jatiya Parishad,3201,45,3246,3.07
99,MAJULI,5,PURNA PEGU,Independent,694,7,701,0.66
99,MAJULI,6,NOTA,None of the Above,1070,5,1075,1.02
100,TITABAR,1,Bhaskar Jyoti Baruah,Indian National Congress,63711,592,64303,52.89
100,TITABAR,2,Hemanta Kalita,Bharatiya Janata Party,50425,499,50924,41.89
100,TITABAR,3,Sailendra Kumar Hazarika,Assam Jatiya Parishad,3832,53,3885,3.2
100,TITABAR,4,Dilip Gogoi,Independent,890,11,901,0.74
100,TITABAR,5,NOTA,None of the Above,1557,5,1562,1.28
101,MARIANI,1,Ramani Tanti,Bharatiya Janata Party,44703,159,44862,46.81
