cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
125,ERAVIPURAM,7,Ayathil Riyas,SOCIAL DEMOCRATIC PARTY OF INDIA,1441,3,1444,1.13
125,ERAVIPURAM,8,N. Shihabudeen,Independent,183,4,187,0.15
125,ERAVIPURAM,9,NOTA,None of the Above,914,17,931,0.73
126,CHATHANNUR,1,B. B. GOPAKUMAR,Bharatiya Janata Party,41305,785,42090,30.61
126,CHATHANNUR,2,G.S. JAYALAL,Communist Party of India,57529,1767,59296,43.12
126,CHATHANNUR,3,N. PEETHAMBARAKURUP,Indian National Congress,33206,1074,34280,24.93
126,CHATHANNUR,4,SUNU BHASKARAN,Bahujan Samaj Party,359,5,364,0.26
126,CHATHANNUR,5,SHANMUGHAN PARAVUR,Anna Democratic Human Rights Movement Party of India,518,6,524,0.38
126,CHATHANNUR,6,VARINJAM RAJEEV,Independent,122,13,135,0.1
126,CHATHANNUR,7,SETHU,Independent,168,4,172,0.13
126,CHATHANNUR,8,NOTA,None of the Above,616,26,642,0.47
127,VARKALA,1,Anu M.C,Bahujan Samaj Party,1920,28,1948,1.44
127,VARKALA,2,Adv. V Joy,Communist Party of India  (Marxist),66874,1942,68816,50.89
127,VARKALA,3,Adv. BRM Shafeer,Indian National Congress,49849,1146,50995,37.71
127,VARKALA,4,Aji S,Bharath Dharma Jana Sena,10957,257,11214,8.29
127,VARKALA,5,Anilkumar P,Democratic Human Rights Movement Party,455,5,460,0.34
127,VARKALA,6,Prince,Independent,615,43,658,0.49
127,VARKALA,7,Shefeer,Independent,313,10,323,0.24
127,VARKALA,8,NOTA,None of the Above,801,14,815,0.6
128,ATTINGAL,1,O S AMBIKA,Communist Party of India  (Marxist),67003,2895,69898,47.35
128,ATTINGAL,2,VIPINLAL VIDHYADHARAN,Bahujan Samaj Party,894,33,927,0.63
128,ATTINGAL,3,ADV. A SREEDHARAN,Revolutionary Socialist Party,35672,1266,36938,25.02
128,ATTINGAL,4,ADV. P SUDHEER,Bharatiya Janata Party,37455,807,38262,25.92
128,ATTINGAL,5,ASHA PRAKASH,Anna Democratic Human Rights Movement Party of India,332,7,339,0.23
128,ATTINGAL,6,AMBILI,Independent,178,13,191,0.13
128,ATTINGAL,7,NOTA,None of the Above,1032,39,1071,0.73
129,CHIRAYINKEEZHU,1,Anil Mangalapuram,Bahujan Samaj Party,1077,20,1097,0.76
129,CHIRAYINKEEZHU,2,B. S. Anoop,Indian National Congress,47402,1215,48617,33.51
129,CHIRAYINKEEZHU,3,Ashanath G. S,Bharatiya Janata Party,30369,617,30986,21.36
129,CHIRAYINKEEZHU,4,V. Sasi,Communist Party of India,60701,1933,62634,43.17
129,CHIRAYINKEEZHU,5,Advocate G. Anil Kumar,Welfare Party Of India,605,11,616,0.42
129,CHIRAYINKEEZHU,6,Anoop Gangan,Independent,369,3,372,0.26
129,CHIRAYINKEEZHU,7,NOTA,None of the Above,750,8,758,0.52
130,NEDUMANGAD,1,Adv. G. R. ANIL,Communist Party of India,70245,2497,72742,47.54
130,NEDUMANGAD,2,Adv. J. R. PADMAKUMAR,Bharatiya Janata Party,26242,619,26861,17.56
130,NEDUMANGAD,3,P. S. PRASANTH,Indian National Congress,47877,1556,49433,32.31
130,NEDUMANGAD,4,BIPIN PALLIPURAM,Bahujan Samaj Party,553,10,563,0.37
