cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
133,VATTIYOORKAVU,1,Adv.V.K.PRASANTH,Communist Party of India  (Marxist),59193,1918,61111,44.4
133,VATTIYOORKAVU,2,N.MURALI,Bahujan Samaj Party,413,6,419,0.3
133,VATTIYOORKAVU,3,Adv.V.V.RAJESH,Bharatiya Janata Party,38558,1038,39596,28.77
133,VATTIYOORKAVU,4,Adv.VEENA.S.NAIR,Indian National Congress,34292,1163,35455,25.76
133,VATTIYOORKAVU,5,A.SHYJU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),200,1,201,0.15
133,VATTIYOORKAVU,6,NOTA,None of the Above,844,10,854,0.62
134,THIRUVANANTHAPURAM,1,KRISHNAKUMAR G,Bharatiya Janata Party,34371,625,34996,27.29
134,THIRUVANANTHAPURAM,2,V .S .Sivakumar,Indian National Congress,40804,855,41659,32.49
134,THIRUVANANTHAPURAM,3,Adv.ANTONY RAJU,Janadhipathiya Kerala Congress,47950,798,48748,38.01
134,THIRUVANANTHAPURAM,4,A .Saboora,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),356,10,366,0.29
134,THIRUVANANTHAPURAM,5,ABHILASH VADAKKAN,Independent,433,3,436,0.34
134,THIRUVANANTHAPURAM,6,ANTONY RAJU S/o Raju,Independent,185,5,190,0.15
134,THIRUVANANTHAPURAM,7,KRISHNAKUMAR T .S S/o Sankarankutty,Independent,87,2,89,0.07
134,THIRUVANANTHAPURAM,8,CHALA MOHANAN D,Independent,238,7,245,0.19
134,THIRUVANANTHAPURAM,9,RAJU ANTONY,Independent,281,8,289,0.23
134,THIRUVANANTHAPURAM,10,SIVAKUMAR. K S/o Kumara Swamy,Independent,161,3,164,0.13
134,THIRUVANANTHAPURAM,11,NOTA,None of the Above,1034,20,1054,0.82
135,NEMOM,1,Kummanam Rajasekharan,Bharatiya Janata Party,50856,1032,51888,35.54
135,NEMOM,2,K.Muraleedharan,Indian National Congress,35532,992,36524,25.01
135,NEMOM,3,D.Vijayan,Bahujan Samaj Party,352,4,356,0.24
135,NEMOM,4,V.Sivankutty,Communist Party of India  (Marxist),54452,1385,55837,38.24
135,NEMOM,5,Jain Wilson,Independent,164,1,165,0.11
135,NEMOM,6,Balachandran Valkannadi,Independent,84,1,85,0.06
135,NEMOM,7,Muraleedharan Nair,Independent,46,2,48,0.03
135,NEMOM,8,Rajasekharan,Independent,46,4,50,0.03
135,NEMOM,9,Arampally Vijayaraj,Independent,136,2,138,0.09
135,NEMOM,10,Shine Raj.B,Independent,65,5,70,0.05
135,NEMOM,11,L Sathyan Nadar,Independent,100,0,100,0.07
135,NEMOM,12,NOTA,None of the Above,749,7,756,0.52
136,ARUVIKKARA,1,Krishnankutty. M,Bahujan Samaj Party,904,19,923,0.63
136,ARUVIKKARA,2,K. S. Sabarinadhan,Indian National Congress,59877,1853,61730,42.37
136,ARUVIKKARA,3,C. Sivankutty,Bharatiya Janata Party,15060,319,15379,10.55
136,ARUVIKKARA,4,Adv. G. Steephen,Communist Party of India  (Marxist),64795,1981,66776,45.83
136,ARUVIKKARA,5,NOTA,None of the Above,885,15,900,0.62
137,PARASSALA,1,AN SAJITHA RESSAL.R.K,Indian National Congress,51273,1447,52720,32.33
137,PARASSALA,2,J.R.JAYAKUMAR,Bahujan Samaj Party,775,3,778,0.48
137,PARASSALA,3,KARAMANA JAYAN,Bharatiya Janata Party,29195,655,29850,18.3
137,PARASSALA,4,C.K.HAREENDRAN,Communist Party of India  (Marxist),76302,2246,78548,48.16
137,PARASSALA,5,SHAJU PALIYODU,Independent,400,2,402,0.25
137,PARASSALA,6,SELVARAJ.J.R,Independent,159,3,162,0.1
137,PARASSALA,7,NOTA,None of the Above,623,7,630,0.39
138,KATTAKKADA,1,P.K KRISHNADAS,Bharatiya Janata Party,27664,0,27664,24.57
138,KATTAKKADA,2,MALAYINKEEZHU VENUGOPAL,Indian National Congress,32889,0,32889,29.21
138,KATTAKKADA,3,Adv I B SATHEESH,Communist Party of India  (Marxist),50685,0,50685,45.02
138,KATTAKKADA,4,KANDALA SURESH,Bahujan Samaj Party,491,0,491,0.44
138,KATTAKKADA,5,SREEKALA NADAR,Independent,201,0,201,0.18
138,KATTAKKADA,6,SYRIAC DAMIAN V. P,Independent,86,0,86,0.08
138,KATTAKKADA,7,NOTA,None of the Above,574,0,574,0.51
139,KOVALAM,1,VISHNUPURAM CHANDRASEKHARAN,Bharatiya Janata Party,18267,397,18664,11.73
139,KOVALAM,2,NEELALOHITHADASAN NADAR,Janata Dal  (Secular),61582,1724,63306,39.79
139,KOVALAM,3,Adv. M. VINCENT,Indian National Congress,72676,2192,74868,47.06
139,KOVALAM,4,KANCHAMPAZHINJI SASIKUMAR,Bahujan Samaj Party,635,6,641,0.4
139,KOVALAM,5,AJIL R.A.,Independent,141,6,147,0.09
139,KOVALAM,6,VENGANOOR ASOKAN,Independent,268,16,284,0.18
139,KOVALAM,7,PRINCE V.S.,Independent,402,15,417,0.26
139,KOVALAM,8,NOTA,None of the Above,758,15,773,0.49
140,NEYYATTINKARA,1,K. ANSALAN,Communist Party of India  (Marxist),63345,2152,65497,47.02
140,NEYYATTINKARA,2,PREMAKUMAR. T. R,Bahujan Samaj Party,626,17,643,0.46
140,NEYYATTINKARA,3,CHENKAL. S. RAJASEKHARAN NAIR,Bharatiya Janata Party,20475,534,21009,15.08
140,NEYYATTINKARA,4,SELVARAJ. R,Indian National Congress,49451,1784,51235,36.78
140,NEYYATTINKARA,5,NOTA,None of the Above,892,15,907,0.65
